redirect_id,original_redirect_id,old_url,url_input_id,is_input_element,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,url_index,parsed_at,method
page_1_859_url_0,859,/dlia-tochky-g,374,True,/vibratory-dlia-tochky-g,/,Структура сайту,Вібратори для точки G,4,1103,1,59,0,2025-08-20T22:24:23.100813,super_optimized_evaluate_all_with_inputs
page_1_859_url_1,859,/dlia-tochky-g/,1361,True,/vibratory-dlia-tochky-g,/,Структура сайту,Вібратори для точки G,4,1103,1,59,1,2025-08-20T22:24:23.100814,super_optimized_evaluate_all_with_inputs
page_1_859_url_2,859,/vibratory-dlia-tochky-g,24798,True,/vibratory-dlia-tochky-g,/,Структура сайту,Вібратори для точки G,4,1103,1,59,2,2025-08-20T22:24:23.100815,super_optimized_evaluate_all_with_inputs
page_1_860_url_0,860,/vibrokiltsia,24799,True,/vibrokiltsia,/,Структура сайту,Віброкільця,4,1104,1,60,0,2025-08-20T22:24:23.100817,super_optimized_evaluate_all_with_inputs
page_1_861_url_0,861,/masturbatory,24800,True,/masturbatory,/,Структура сайту,Мастурбатори,4,1105,1,61,0,2025-08-20T22:24:23.100819,super_optimized_evaluate_all_with_inputs
page_1_862_url_0,862,/probky,377,True,/analni-probky,/,Структура сайту,Анальні пробки,4,1106,1,62,0,2025-08-20T22:24:23.100820,super_optimized_evaluate_all_with_inputs
page_1_862_url_1,862,/probky/,1418,True,/analni-probky,/,Структура сайту,Анальні пробки,4,1106,1,62,1,2025-08-20T22:24:23.100822,super_optimized_evaluate_all_with_inputs
page_1_862_url_2,862,/analni-probky,24801,True,/analni-probky,/,Структура сайту,Анальні пробки,4,1106,1,62,2,2025-08-20T22:24:23.100823,super_optimized_evaluate_all_with_inputs
page_1_863_url_0,863,/analni-vibratory,24802,True,/analni-vibratory,/,Структура сайту,Анальні вібратори,4,1107,1,63,0,2025-08-20T22:24:23.100824,super_optimized_evaluate_all_with_inputs
page_1_864_url_0,864,/zasoby-dlia-masazhu,1390,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,0,2025-08-20T22:24:23.100826,super_optimized_evaluate_all_with_inputs
page_1_864_url_1,864,/zasoby-dlia-masazhu/,5598,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,1,2025-08-20T22:24:23.100827,super_optimized_evaluate_all_with_inputs
page_1_864_url_2,864,/dlia-masazhu,24803,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,2,2025-08-20T22:24:23.100829,super_optimized_evaluate_all_with_inputs
page_1_864_url_3,864,/razohrevaiushchee-massazhnoe-maslo-boo-massage-oil-warming-150-ml/,57733,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,3,2025-08-20T22:24:23.100830,super_optimized_evaluate_all_with_inputs
page_1_864_url_4,864,/massazhnaiasvechaexotiqmassagecandlevioletrose-60ml/,57738,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,4,2025-08-20T22:24:23.100831,super_optimized_evaluate_all_with_inputs
page_1_864_url_5,864,/massazhnyi-hel-y-lubrykant-hot-massage-glide-gel-2in1-silky-touch-200-ml/,57762,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,5,2025-08-20T22:24:23.100833,super_optimized_evaluate_all_with_inputs
page_1_864_url_6,864,/massazhnoe-maslo-magoon-sandelhjlz-100-ml/,57768,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,6,2025-08-20T22:24:23.100834,super_optimized_evaluate_all_with_inputs
page_1_864_url_7,864,/svecha-dlia-massazha-kama-sutra-manho-170-ml/,57774,True,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,7,2025-08-20T22:24:23.100835,super_optimized_evaluate_all_with_inputs
